Reviews,Ratings
"THE MONEY WE SAVED ON GAS WAS SPENT ON SNACKS INSIDE Gas was a little bit cheaper at this station ($3.91/gallon) and it was within ten miles of the car rental facility so we stopped here for a final fill-up before returning the vehicle. Of course, the first pump we stopped at wasn't accepting credit cards at the moment. We reparked on the other side of the station and filled up. About the same price we pay at home - glad we didn't have to do much driving while we were in Vegas! Lots of snacks and goodies inside. We bought one final soda to drink before the security line in the airport. Also, I asked the ladies at the register if I could fill my water bottle with ice and they said yes. Very nice. :)",Positive
"Have found from my own experience having driven to Las Vegas that the 7-11 gas stations have had better gas prices than any other gas stations near my son's place. This is nothing fancy, a gas station attached to a 7-11, but then you get the benefit of getting a slurpee when you gas up.",Positive
These guys did an awesome job on my 2014 Ford Expedition. Had some blown struts in the rear. They had everything swapped out quickly. Someone else was supposed to do these and had rescheduled last minute. They got me in same day and also pointed out some other items that needed attention. My rotors were cracked and it wasn't pointed when a company rotated the tires. Definitely will be coming back for sure.easy to work with.,Positive
"These guys are very honest and straight forward, I completely trust them. This is the only place I'll take my vehicles. Their rates are generous and they're very professional with handling business.",Positive
Always a good price here and always reliable. I first took my 2013 Hyundai Accent here for an inspection prior to buying it. I've since brought it in for oil changes and the 60k service. All my friends and family bring their cars here and have never had a complaint or problem.,Positive
My power steering went out while I was trying to get on the freeway. I called A&E and I had my car towed there that afternoon. The owner took great care of me. He called and explained everything to me. And he got my car fixed by 5 o'clock! They provided me with great service. They are friendly and honest at A&E!,Positive
"These guys are the best. I highly recommend. They are good at what they do and if you have any special cars or projects they do them right. Than you guys Dan, Mario, Art and Jim you guys are the best in the business.",Positive
"had a sales rep while ago from this company at my house and was trying to sell me on their services. when i politely declined however the sales rep became very rude loudly stating "" have fun getting pulled over then!"" i feel that was very inappropriate and unprofessional and the guy threw his card at my door so frankly was very inappropriate as a customer i feel i would rather spend money at a more considerate company",Negative
"Always honest, prompt and fair in my dealing with them. Never a misdiagnosis and always well explained. If you're looking for a one stop mechanic shop I wouldn't hesitate to recommend A&E, especially ask for Mario as he is my go to guy!",Positive
"We really like this shop. The owners are fair and honest, helpful and efficient. It was recommended to us by friends, a real gift as we drive older cars.",Positive
These guys are truly amazing. Chance one of their ex employees ( studying to be an accountant) helped us out in a walmart parking lot with our car that wouldn't start. He Knew exactly how to get it going ( cleaned the battery terminals) and saved us a world of grief. He recommended A&E Automotive for a brake job that we needed. Mario and Jim who run the shop did an excellent job at a more than reasonable price. These are Guys you can trust with your vehicle...they are soooo honest and friendly. I highly recommend them to service your car. Paul,Positive
These guys wanted to charge me $100 to change a cabin air filter on my Toyota. It took me 45 seconds to change it out myself in their parking lot. Then they kept hounding me about buffing my headlight lenses for $37 a pop. They used to be really honest and reputable. Now they seem to want to prey on female patrons. It saddens me. Don't do business here if you're a woman. They'll gouge you.,Negative
Excellent service at a fair price. They give their customers an honest assessment and provide quality work as necessary. These guys are pros. They do not create or make up problems with your vehicle like many crooks who call themselves mechanics often do. This is the only place I take my car for service. You will not be disappointed!!,Positive
"I called this place and asked for a specific Technician that I was told might be able to work on my car. Got disconnected, and when I called back immediately after, the person I was talking to was ""busy"". I was told that they didn't know if they could work on my car and that they had to ask the owner, NOT the technician I asked about. Judging by other comments, I was talking to Liz on the phone. She was extremely rude and couldn't seem to answer the simple question of whether or not they could work on my car. I was told I""d have to wait for a call back from the owner. I said I'd wait while they asked the owner, and of course, he was in a meeting. I felt like I was on the phone with Verizon or some other major telecom company giving me the run around and avoiding helping or having to deal with me at all costs. It seemed as though my phone call was a nusance to them and that they didn't care about my business.",Negative
"Liz was extremely rude on the phone. I called to see how much it would be to get an estimate before I did any major repairs and she could not give me an answer. She then put my on hold, returned from hold and told me to take my car else where if I wasn't going to do the repairs there. I don't want to get into costly repairs, if I can't get a price for a diagnosis....then she proceeded to tell me the price of that would be $99-135....Geez, was that that hard to tell me that price??? Customer service on the front end was so rude, I can only image the ride I would have been taking on for the bill! I told her I would go elsewhere!",Negative
"I was looking for a good mechanic 8 years ago and spoke with a friend of mine at the office. She recommended Dutch at A&M Auto Service. I soon started to see why she liked Dutch so much - instead of confusing me with technical jargon, or giving me choices without any context, Dutch took his time to explain what was happening with my vehicle, what my choices were, the impacts, and his own recommendation. I soon learned that Dutch was a real rarity - a service provider I could trust. Trust is something that I do not give out randomly, so Dutch and his team had to really earn it. When he recommended NOT replacing items that were still functional because I could get more life out of them, I knew I had found the person I wanted to take care of my vehicles. His advice is financially based, as he sees my vehicles from MY perspective - as mechanical conveyance that I need to keep as along as it is cost effective. If my repair bills start to outweigh the cost of a newer vehicle, then its smarter for me to replace that vehicle. Its too bad other reviewers don't get that. My current approach with Dutch is to religiously bring my vehicles by every 5k for maintenance. I ask Dutch and his team to do whatever is needed, and to let me know if there is something unusual. I will always get an explanation of what work has been done, and any items that they are tracking or that I should watch for. Its refreshing to have a trusted person who I can bring my car and truck to - just dropping off the key with a ""please take care of my vehicle"". I don't worry that I am being upsold, cross-sold, oversold, etc. And because of that, Dutch has a customer for life",Positive
Professional and honest. Dutch runs his shop with a rare code of integrity that makes this business a real pleasure to use. I have no concern when I bring my cars here that they will only receive the repair work the car needs and it will be done right.,Positive
"Amending my previous review for two reasons: 1) Just got a call from the tow truck company, saying that they found my envelope with my estimate mixed in with the tow truck driver's paperwork. So that was not A&M's fault. HOWEVER... 2) I took my car elsewhere for a second opinion this morning and I was told that although my brake rotors & pads did in fact need replacing (as expected), my brake calipers & hoses were fine (contradicting what I was told at A&M) and I was quoted a price $300 dollars cheaper than A&M which just confirmed my suspicion that A&M was trying to use scare tactics and rip me off.",Negative
"A&M Autoservice is just past ""downtown"" Pineville; on Downs Circle(which is no longer a circle). Search it out for once you know about it you won't ever look for somewhere to take your car again. As a female who is mechanically challenged, I never knew if I was being sold unnecessary services or products. This shop is trustworthy,reliable and professional. As priceless as finding a great hairdresser! Can't recommend highly enough.",Positive
"I have been taking my car to Dutch over the past few years and can say that he is absolutely an honest and reliable mechanic. He provides thorough explanations anytime that he finds something wrong with a car and gives you a couple of options for fixing the issue. I go out of my way to bring my cars over to Dutch, and would recommend his shop to anyone who needs a decent mechanic.",Positive
"This is my very first review on Yelp and I'm doing it because of the great experience I had at A&M AutoService. This place is just great. I'm new to town and they were gracious enough to take me in without an appointment. My problems were solved immediately and everything is transparent. If you need a good auto shop, this is the place to be. Two thumbs up",Positive
"Do you like things done the Old School way? Do you look for honesty, integrity, professionalism and skill in the businesses you deal with? If you need (and who doesn't?) an automotive repair shop in the Charlotte area get to A&M Auto Service in Pineville. Mr Dutch Silverstein is the owner and I've never met anyone who knows as much about cars as he does. His crew of mechanics are highly trained and certified. Ductch was a commercial airline pilot for many years and knows what customer service should mean in the real world - not a slogan, but honest service you can rely on. If Dutch says it's fixed you can bank on it. My 1999 BMW needs TLC. No one but A&M works on it.",Positive
"A good mechanic is hard to find and Dutch is the best! I discovered him from a neighbor who is quite capable of working on his own cars. He takes his cars to Dutch when it is something too time consuming or difficult or he lacks the proper tools. Dutch has the best customer service skills I've seen in the industry. He even called me back 6 months after I had transmission work done, just to see if I was still happy with the work.",Positive
"My 2005 Chevy has just over 130k on it so when my transmission started slipping I knew what was in store. What I didn't know was it could be better than new. Wow! Nice smooth shifting, crisp quick downshift when I hit it...I am truly impressed, these guys know what they are doing. From the front staff, Justin and Stephanie who are terrific, to the job the mechanic did on my truck, to the price for the transmission rebuild, I couldn't be happier. Thank you AAMCO Transmissions and total car care for exceeding my expectations! I feel like I'm driving a new truck.",Positive
"Started getting oil changes here a couple years ago after I moved from the east valley. Since then, got my serpentine belts replaced- they charged BELOW the quote! Just got my fuel injector system cleaned, recommended by dealer when I went in for a recall notice. They did 3 part cleaning and decarbonization for $50 BELOW dealer quote just for the cleaning! Great shop, no ""hard sell"" (You better get this done now or you might break down driving home!), Staff are all wonderful, work is done in timely fashion, and Kurt will give great advice about keeping your baby rolling! Only downside- MAKE AN APPOINTMENT! They are super busy, and for good reason!",Positive
"So my story goes like this, my car broke down turns out I knew exactly what... It was...the alternator I took it to AAMCO and I was looking at it like this is gonna cost a pretty penny -previous week which has nothing to do with my car my grandmother had a stroke my car is the main transportation to see her so I was trying to figure out how I would pull a rabbit out of a hat I made my appointment spoke with this young lady super super nice her name was Stephanie she let me know that they will take good care me and call me about the diagnosis. Few hours later I heard from a young man named Justin he called me and At the time I was just so negative that I really didn't look at the bigger picture I had brought my car in to get fixed I luckily had a great mechanic and it wasn't gonna cost me a lot of money to be fixed. Justin reminded me of the most important thing -I was awake and alive and had a clean bill of health all of which were more important then my then my car. So I come in Saturday, March 24 to pick up my car Justin and Stephanie of course were very polite and took care of me I paid and expected to be done . Justin walked me to my car thinking that was that little did I know my car was in complete working condition I was contemplating bringing my car back to have them look at that electrical issues that I was having before it broke down I was having but turns out they really fixed it ! I would recommend the shop to anybody and everybody I know I will scream it if I had to but for now I'd like to say thank you AAMCO !!!",Positive
Normally when I go get my car taken care of it's never fun. At this AAMCO all the employees were cracking jokes and making it a really awesome experience! Special shoutout to Stephanie and Kurt,Positive
Charlie is very helpful and knowledgeable as are the rest of the staff. They actually care about their customers and the quality of work they perform here. After having my car diagnosed by a dealership and quoted thousands of dollars to fix I took it here for a second opinion and the problem was fixed for $80 and everything claimed by the dealer to need replaced was in perfect operating condition.,Positive
"I came in to visit the AAMCO because my car was having troubles around the corner. It was leaking and ejecting coolant onto the hood causing it to steam. Turns out it was the water pump. Had my cousin go with me who was a former mechanic and he verified that was they were saying was true. Total cost was out of my budget up front but financing was available. They told me how long it would take after that and ended up helping me out. I left to go hangout a bit before returning to find that the owner himself was out there grilling hot dogs, burgers and potatoes! He gave me a free hot dog and in the process informed me that a part of my serpentine belt assembly accidentally broke off and that they were ordering a new part for my vehicle, on them, and of course the labor would be included as well. A very wonderful establishment that I would highly recommend and will definitely be going back to next time my car has any issues.",Positive
"Kurt and his staff are kind, professional and knowledgeable. They went out of their way to help me get my 02 Trooper running safely and even better than when I first purchased it. This is the only shop I'll be going to now.",Positive
"This is the ONLY place I will take either of my cars. I have a 2008 Dodge Avenger and my boyfriend has a 2014 Hyundai Veloster. I've been coming here for over 2 years at this point, and it's the only place I trust with either car. Kurt is amazing and won't lie to you and Manny is always at the front desk with a smiling face. I've had so many issues even with the dealerships, but Kurt and the entire team are great. They will do everything in their power to make sure the job gets done right the first time. They're the only place I trust either of my cars with, and they're the only place I will ever take my cars.",Positive
"My company has had me bring two vehicles into the shop. Kurt, the man at the front, is friendly, professional, knowledgable and an all around good guy. I highly recommend utilizing this business for your automotive needs.",Positive
"Kurt and staff are amazing with their level of service and attention. I received a quote from another repair shop (on the recommendation of a colleague) and it did not look correct. Kurt diagnosed it correctly, repaired it right and also found other flaws that would have left me stranded in a very remote part of the state as I was trying to leave town on a hunting trip. They stayed very late that night making sure I was able to leave on my trip the next day and was also flexible on the payment for the repairs. One of the parts that got installed was factory defective and the next day Kurt and mechanic drove to Flagstaff to replace it at NO additional cost so I could continue on my trip. That is customer service and the reason why I will take my vehicles no where else for repairs and service!",Positive
"I went there to get my green machine rodeo looked at to see why I had engine power loss. Anyway, I have to put down a $1,200 deposit. Needless to say, they put a junk yard engine in it that wouldn't pass emissions. Corporate and the manager Kurt didn't want to do a thing about the fact I never gave consent for a new engine. I wanted to know what was wrong with mine. On top of never getting status updates about what was going on. DO NOT EVER GO HERE. YOU WILL REGRET IT",Negative
"My transmission recently went out. I was stressed out and had no clue how i would come up with money to replace it. A close friend recommended this shop to me because they finance. I was a bit relieved. Not only did they get me a great price on a replacement on my trans but they got me back on the road in a matter of two days. The service i received was amazing, The guys at the shop made me feel like i shouldn't be as worried, that everything would be fine. I was very pleased with the service and would recommend them to any family or friend that's having car trouble.",Positive
Very helpful and courteous but more importantly they provide amazing service at outstanding prices! Honesty is huge and we've always experienced that!,Positive
"Kurt and all the guys at AAMCO were amazing fixing the transmission in our 07 Suburban. After looking at our car their description was that a ""grenade had gone off in our transmission."" Ouch!! They were quick to put it back together and even when there were a couple of glitches, they were quick to resolve the problems. No one ever wants car problems, but if we have them again we will definitely go back to AAMCO!",Positive
"Had to get a check engine light looked at and this place was able to accommodate my busy schedule. Shawn was an excellent person to deal with. He helped make everything clear and earned my trust with his professional demeanor. Anyways, he said the component that was causing the check engine light would take 3 days to acquire and fix and he lived up to it. Within 3 days i got my car back with that pesky light gone and a fresh oil change which I also requested. Will be going back there to get an oil change again this friday since my 3000 miles are up.",Positive
"I took my Jeep in and was told my transmission was missing a gear. They completely fixed my Jeep within three days, they took care of my bill with a rental car. They stayed in contact with me about the work. They help me get financed to help pay for the work done. They also recommend I bring back my Jeep for checkups. I think they done well.",Positive
"No customer service. No sense of urgency. Was told by the manager of this place I was going to get a phone call back in 10 mins, that was a failure. The longest 10mins of my life. Am yet to get a call back.",Negative
"These guys were horrible! I brought my vehicle in for a brand new transmission. It took them three weeks to finish! After returning to me my vehicle it still had transmission problems, and I had to bring in my vehicle again with the new transmission. This took another week and a bunch of phone calls to get ahold of them. I was very displeased with the service as it took forever and I had to bring it in again after they put in the new transmission. The WORST part was a ONE YEAR LATER their new transmission had problems again and was COMPLETELY JUNKED. I took it to the dealership to be done the right way. It cost me thousands and it was only good for a year till it had to be replaced. WHAT A JOKE. I write this review to warn others that I got completly screwed at this AAMCO location.",Negative
"ARA Of Madison 1831 E Washington Ave, Madison, WI 53704 Auto Repair Shop PLACE DETAILS Jon Pfeiffer in the last week Jon Pfeiffer September 10 at 8:16pm · Madison, WI · My car has served me well for over 50,000 miles. It was the first and only car I looked at. Yesterday it hit 150,000 miles. I knew exactly what car I wanted before I looked at and test drove it in 2010 when I got it with the help of a PASS Plan. I want to thank a few people now for their help back then. Stephanie Drum of Employment Resources Incorporated believed in me and saw that I had a viable business, Jon Pfeiffer Photography. She put together and helped me complete my PASS Plan between 2008 and 2010. Lexy Frautschy, then a manager at Ian's On State interviewed and hired me in early 2008. I began working there on February 23th of that year. I bussed tables, washed dishes, took the trash out, cleaned bathrooms, shoveled snow and did construction there during the three years I worked there. Lance Owens of WORC helped me start my business which officially happened in April of 2008. He helped me build build Jon Pfeiffer Photography while Stephanie told me about and put together the plan. Lance Owens went along on my test drive with the owner. It was a 5-speed because I would not own a car with an automatic transmission. I never have and never will. I did well considering I had not driven a car with a real transmission since that bad day in May of 1999. Shannel Trudeau-Yancey of Progressive Community Services helped me get the help of DVR to obtain some of the equipment I needed for my business. Cliff Wolllin of Wisconsin DVR approved my self employment plan and with that, I got some of the equipment needed to start my business. While working at Ian's, Lance submitted some of my photography to the Overture Center resulting in seven of my photographs being displayed there in Gallery II in the fall of 2009. Cliff got DVR to pay for my display for which I am still thankful. In January of 2010, Shaun at ARA of Madison went for a test drive with me and said ""Nice car, Pfeif"" so I purchased it. With a great people working on it like Shaun and Casey at ARA Auto, Mike's crew at M&M Auto Body and the Paul's people at AMS, it continues to look and run like a car half it's age. I love my car.",Positive
"To clarify to all reading this, the car was NOT picked up on Friday, but on Sat @12:00. The car had much maintenance done to it as well as having recall items replaced by GM after our purchase of the vehicle last fall. My son has had this vehicle seen by 2 other mechanics since our visit at ARA and were informed the car has been maintained, the battery and starter/alternator are in good shape. Casey made our son pay a penny to look at the wheel that squeaked after the wheel bearing was replaced. Finally, my son never test drove the vehicle after they adjusted the wheel bearing. ""The mechanic even told my son the wheel bearing was not properly installed and that's why it squeked"" Casey will reply to this with more denials and that's what you'll get. Fyi folks",Negative
I took my 1992 Evinrude 25 hp 2 stroke and attached boat in because of cooling issues. Work was done completely and correctly and boat runs like a champ. Labor cost is a little steep but the work was correctly and the motor has run well ever since. Work was completed on schedule and this was before a holiday weekend.,Positive
"ARA is sort of a hidden gem of a automotive and marine repair shop that I have passed many times and wondered what exactly they do here. You see food carts parked at one end of the lot and cars of all vintages parked at odd angles in front of three bays. At one time years ago there was a small breakfast and lunch restaurant where the office is now. I needed some work done on a ten year old, 50HP two stroke Mercury outboard and a friend recommend ARA. I have had it in to the local marine dealer that specializes in Mercury and after three return visits the problem still wasn't fixed. It starts hard and idels rough. ADA has a guy that specializes in marine engines, especially older ones like mine, and so I had him take a shot at fixing it. They aren't cheap here but either was the other place that did not fix my problem. I was told right out that it might take a return visit after the initial fix to do some fine tuning and it did. Since most of the marine dealers do not do on the water repairs its up to the customers to take it on a shake down cruise to check it out after the initial repair. My carburetors needed rebuilding and the tech took it upon himself to get the right manual for this engine and correctly adjust the linkages to the three carbs to make my problems go away. I was not charged for the second visit or for the manual. It became a shop manual. There is a yard here to the left of the building with a locking gate but there are no fences surrounding it and it is open air, so if you drop something off have a cover for it and remove any valuables. This is true of the other repair shops as well but thought I would mention it. All in all if you have a boat or car that you like and want running correctly ARA would be a good place to call. Judging by my visits here you might see a big ski boat next to a BMW one day and a Corvette and a boat like mine the next. Pay up and give them a shot. They have been here a long time and and seem to keep busy by word of mouth alone. Google did not bring them up for marine repair but I believe it may in the future.",Positive
"I am very happy with the quality of brake work done on my car last month. They were down to metal-on-metal, This place is conveniently close to my work, and I was able to drop my car off in the morning and pick it up again by early afternoon. The price was steep, but I believe you get what you pay for. I'm about to have them replace my water pump, so I'm hoping the quality work continues!",Positive
This guy is a crook. When I took my vehicle to my regular mechanic he was so pissed he wanted to know who ripped me off!!,Negative
This place is horrible. They ripped me off so bad on an oil change and filter service. They left the old filter in there and just said they swapped it out. How can you trust a mechanic like this? Stay away...,Negative
"Adrenaline is the ONLY place I take my bikes to. Been bringing them here for a few years and they always take amazing care of me, and at an affordable price. Oscar serviced my baby yesterday and he went absolutely above and beyond to make sure every little part was in tip top condition for my cross country ride I'm about to take. Mentioned other upgrades I was wanting in the near future and he took the time to go thru the shop and found a Toce exhaust and installed it right then and there as well. The guys here take care of my ride as if it were their own and that's a big reason why I will continue to pass by prob 20 shops closer to where I live, and continue coming to Adrenaline for my bike needs. Thank you Oscar, and Jeremy for hooking me up with a great price for everything that was done!",Positive
